Rank,Word,Happiness_Score,Standard_Deviation
,basins,5.16,1.61
5361,basis,5.38,1.01
2540,basket,6.02,1.08
2190,basketball,6.14,2.09
,basketballs,6.14,2.09
,baskets,6.02,1.08
2482,bass,6.04,1.69
9992,bastard,2.52,1.3
9910,bastards,2.68,1.52
5726,bat,5.3,1.36
622,bath,6.96,1.26
4260,bathroom,5.6,1.32
,bathrooms,5.6,1.32
1954,batman,6.22,1.59
,batteries,5.44,1.2
5074,battery,5.44,1.2
9768,battle,2.98,1.73
9273,battles,3.78,2
,battling,2.98,1.73
2760,bay,5.96,1.5
7733,bb,4.86,0.9
2676,bbc,5.98,1.25
6946,bbm,5.04,1.03
1682,bbq,6.32,1.56
8021,bc,4.78,0.82
117,bday,7.64,1.68
101,b-day,7.68,1.53
3882,be,5.68,1.3
39,beach,7.94,1.06
,beaches,7.94,1.06
1103,beam,6.6,1.37
,beams,6.6,1.37
3364,bean,5.8,1.36
2602,beans,6,1.65
3126,bear,5.86,1.85
7885,beard,4.82,1.29
6465,bearing,5.14,1.53
4350,bears,5.58,1.82
9557,beast,3.36,1.52
,beasts,3.36,1.52
8930,beat,4.2,1.98
9936,beaten,2.62,1.59
9973,beating,2.56,1.9
1398,beatles,6.44,2.33
8722,beats,4.4,1.93
,beauties,7.76,1.61
43,beautiful,7.92,1.18
,beautifully,7.92,1.18
78,beauty,7.76,1.61
4180,became,5.62,1.01
7141,because,5,0.86
7142,becker,5,1.34
3796,become,5.7,0.93
3365,becomes,5.8,0.95
3292,becoming,5.82,0.92
420,bed,7.18,1.29
5169,bedford,5.42,1.23
801,bedroom,6.8,1.44
,bedrooms,6.8,1.44
2129,beds,6.17,1.72
1683,bedtime,6.32,1.6
5443,bee,5.36,1.65
5832,beef,5.28,2.18
6947,been,5.04,1.18
5631,beep,5.32,1.52
